          Date Of Operation:,01/01/2010 to 04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Date Mode:,ERP Transaction Date,,,,,,,,,,,,,,,,,,,,,,,,,
Branch:,1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,
Department:,All,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Date,Academic Year,Session,Alloted Category,Voucher Type,Voucher No.,Roll No.,Admno/UniqueId,Status,Fee Category,Faculty,Program,Department,Batch,Receipt No.,Fee Head,Due Amount,Paid Amount,Concession Amount,Scholarship Amount,Reverse Concession Amount,Write Off Amount,Adjusted Amount,Refund Amount,Fund Transfer Amount,Remarks
16,11/6/2011,2011-2012,2011-2012,AIE,RCPT,889479,11CETBT105002,11CETBT105002,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,6,Security Fee,0,10000,0,0,0,0,0,0,0,
17,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886529,11COMBB101001,11COMBB101001,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3066,TUITION FEE,0,65000,0,0,0,0,0,0,0,
18,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886529,11COMBB101001,11COMBB101001,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3066,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
19,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886529,11COMBB101001,11COMBB101001,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3066,Security Fee,0,10000,0,0,0,0,0,0,0,
20,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886524,11COMBB101002,11COMBB101002,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,18,TUITION FEE,0,65000,0,0,0,0,0,0,0,
21,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886524,11COMBB101002,11COMBB101002,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,18,Security Fee,0,10000,0,0,0,0,0,0,0,
22,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896826,11CETBT101005,11CETBT101005,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,17,TUITION FEE,0,128000,0,0,0,0,0,0,0,
23,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896826,11CETBT101005,11CETBT101005,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,17,Security Fee,0,10000,0,0,0,0,0,0,0,
24,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896834,11CETBT101003,11CETBT101003,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,11,TUITION FEE,0,49000,0,0,0,0,0,0,0,
25,13-06-2011,2011-2012,2011-2012,AIE,RCPT,889471,11CETBT105003,11CETBT105003,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,9,TUITION FEE,0,128000,0,0,0,0,0,0,0,
26,13-06-2011,2011-2012,2011-2012,AIE,RCPT,889471,11CETBT105003,11CETBT105003,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,9,Security Fee,0,10000,0,0,0,0,0,0,0,
27,13-06-2011,2011-2012,2011-2012,AIE,RCPT,890013,11CETBT104001,11CETBT104001,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electrical & Electronics Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electrical & Electronics Engineering 2011-2012 IV Sem VIII,14,TUITION FEE,0,128000,0,0,0,0,0,0,0,
28,13-06-2011,2011-2012,2011-2012,AIE,RCPT,890013,11CETBT104001,11CETBT104001,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electrical & Electronics Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electrical & Electronics Engineering 2011-2012 IV Sem VIII,14,Security Fee,0,10000,0,0,0,0,0,0,0,
29,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896836,11CETBT101003,11CETBT101003,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,10,TUITION FEE,0,30000,0,0,0,0,0,0,0,
30,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896836,11CETBT101003,11CETBT101003,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,10,Security Fee,0,10000,0,0,0,0,0,0,0,
31,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886754,11CETMT101001,11CETMT101001,Alumni,General,School of Computing Science & Engineering,M.Tech Computer Science Engineering,School of Computing Science,M.Tech Computer Science Engineering 2011-2012 II Sem IV,13,TUITION FEE,0,74000,0,0,0,0,0,0,0,
32,13-06-2011,2011-2012,2011-2012,AIE,RCPT,886754,11CETMT101001,11CETMT101001,Alumni,General,School of Computing Science & Engineering,M.Tech Computer Science Engineering,School of Computing Science,M.Tech Computer Science Engineering 2011-2012 II Sem IV,13,Security Fee,0,10000,0,0,0,0,0,0,0,
33,13-06-2011,2011-2012,2011-2012,AIE,RCPT,896835,11CETBT101003,11CETBT101003,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,12,TUITION FEE,0,49000,0,0,0,0,0,0,0,
34,13-06-2011,2011-2012,2011-2012,AIE,RCPT,891078,11CETBT103002,11CETBT103002,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,16,TUITION FEE,0,128000,0,0,0,0,0,0,0,
35,13-06-2011,2011-2012,2011-2012,AIE,RCPT,891078,11CETBT103002,11CETBT103002,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,16,Security Fee,0,10000,0,0,0,0,0,0,0,
36,14-06-2011,2011-2012,2011-2012,AIE,RCPT,896812,11CETBT101007,11CETBT101007,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,29,TUITION FEE,0,90000,0,0,0,0,0,0,0,
37,14-06-2011,2011-2012,2011-2012,AIE,RCPT,896812,11CETBT101007,11CETBT101007,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,29,Security Fee,0,10000,0,0,0,0,0,0,0,
38,14-06-2011,2011-2012,2011-2012,AIE,RCPT,889458,11CETBT105005,11CETBT105005,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,2997,TUITION FEE,0,128000,0,0,0,0,0,0,0,
39,14-06-2011,2011-2012,2011-2012,AIE,RCPT,889458,11CETBT105005,11CETBT105005,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,2997,Security Fee,0,10000,0,0,0,0,0,0,0,
40,14-06-2011,2011-2012,2011-2012,AIE,RCPT,896811,11CETBT101007,11CETBT101007,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,30,TUITION FEE,0,38000,0,0,0,0,0,0,0,
41,14-06-2011,2011-2012,2011-2012,AIE,RCPT,885725,11COMMBA101002,11COMMBA101002,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization 2011-2012 II Sem IV,26,TUITION FEE,0,128000,0,0,0,0,0,0,0,
42,14-06-2011,2011-2012,2011-2012,AIE,RCPT,885725,11COMMBA101002,11COMMBA101002,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization 2011-2012 II Sem IV,26,Security Fee,0,10000,0,0,0,0,0,0,0,
43,14-06-2011,2011-2012,2011-2012,AIE,RCPT,889466,11CETBT105004,11CETBT105004,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,22,TUITION FEE,0,128000,0,0,0,0,0,0,0,
44,14-06-2011,2011-2012,2011-2012,AIE,RCPT,889466,11CETBT105004,11CETBT105004,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,22,Security Fee,0,10000,0,0,0,0,0,0,0,
45,14-06-2011,2011-2012,2011-2012,AIE,RCPT,893542,11CETBT102002,11CETBT102002,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,28,TUITION FEE,0,128000,0,0,0,0,0,0,0,
46,14-06-2011,2011-2012,2011-2012,AIE,RCPT,893542,11CETBT102002,11CETBT102002,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,28,Security Fee,0,10000,0,0,0,0,0,0,0,
47,14-06-2011,2011-2012,2011-2012,AIE,RCPT,885727,11COMMBA101001,11COMMBA101001,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization 2011-2012 I Sem II,25,TUITION FEE,0,10000,0,0,0,0,0,0,0,
48,14-06-2011,2011-2012,2011-2012,AIE,RCPT,885728,11COMMBA101001,11COMMBA101001,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization 2011-2012 I Sem II,24,TUITION FEE,0,118000,0,0,0,0,0,0,0,
49,14-06-2011,2011-2012,2011-2012,AIE,RCPT,885728,11COMMBA101001,11COMMBA101001,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization 2011-2012 I Sem II,24,Security Fee,0,10000,0,0,0,0,0,0,0,
50,14-06-2011,2011-2012,2011-2012,AIE,RCPT,896820,11CETBT101006,11CETBT101006,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,23,TUITION FEE,0,128000,0,0,0,0,0,0,0,
51,14-06-2011,2011-2012,2011-2012,AIE,RCPT,896820,11CETBT101006,11CETBT101006,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,23,Security Fee,0,10000,0,0,0,0,0,0,0,
52,14-06-2011,2011-2012,2011-2012,AIE,RCPT,886518,11COMBB101003,11COMBB101003,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,20,TUITION FEE,0,10000,0,0,0,0,0,0,0,
53,14-06-2011,2011-2012,2011-2012,AIE,RCPT,886519,11COMBB101003,11COMBB101003,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,19,TUITION FEE,0,55000,0,0,0,0,0,0,0,
54,14-06-2011,2011-2012,2011-2012,AIE,RCPT,886519,11COMBB101003,11COMBB101003,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,19,Security Fee,0,10000,0,0,0,0,0,0,0,
55,14-06-2011,2011-2012,2011-2012,AIE,RCPT,886512,11COMBB101004,11COMBB101004,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,21,TUITION FEE,0,65000,0,0,0,0,0,0,0,
56,14-06-2011,2011-2012,2011-2012,AIE,RCPT,886512,11COMBB101004,11COMBB101004,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,21,Security Fee,0,10000,0,0,0,0,0,0,0,
57,14-06-2011,2011-2012,2011-2012,AIE,RCPT,893530,11CETBT102003,11CETBT102003,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,31,TUITION FEE,0,128000,0,0,0,0,0,0,0,
58,14-06-2011,2011-2012,2011-2012,AIE,RCPT,893530,11CETBT102003,11CETBT102003,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,31,Security Fee,0,10000,0,0,0,0,0,0,0,
59,15-06-2011,2011-2012,2011-2012,AIE,RCPT,889444,11CETBT105007,11CETBT105007,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,34,TUITION FEE,0,128000,0,0,0,0,0,0,0,
60,15-06-2011,2011-2012,2011-2012,AIE,RCPT,889444,11CETBT105007,11CETBT105007,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,34,Security Fee,0,10000,0,0,0,0,0,0,0,
61,15-06-2011,2011-2012,2011-2012,AIE,RCPT,885719,11COMMBA101003,11COMMBA101003,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,3112,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
62,15-06-2011,2011-2012,2011-2012,AIE,RCPT,885715,11COMMBA101004,11COMMBA101004,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,40,TUITION FEE,0,128000,0,0,0,0,0,0,0,
63,15-06-2011,2011-2012,2011-2012,AIE,RCPT,885715,11COMMBA101004,11COMMBA101004,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,40,Security Fee,0,10000,0,0,0,0,0,0,0,
64,15-06-2011,2011-2012,2011-2012,AIE,RCPT,885718,11COMMBA101003,11COMMBA101003,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,3110,TUITION FEE,0,102400,0,0,0,0,0,0,0,
65,15-06-2011,2011-2012,2011-2012,AIE,RCPT,885718,11COMMBA101003,11COMMBA101003,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,3110,Security Fee,0,10000,0,0,0,0,0,0,0,
66,15-06-2011,2011-2012,2011-2012,AIE,RCPT,886500,11COMBB101005,11COMBB101005,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,39,TUITION FEE,0,65000,0,0,0,0,0,0,0,
67,15-06-2011,2011-2012,2011-2012,AIE,RCPT,886500,11COMBB101005,11COMBB101005,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,39,Security Fee,0,10000,0,0,0,0,0,0,0,
68,15-06-2011,2011-2012,2011-2012,AIE,RCPT,896803,11CETBT101008,11CETBT101008,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,33,TUITION FEE,0,128000,0,0,0,0,0,0,0,
69,15-06-2011,2011-2012,2011-2012,AIE,RCPT,896803,11CETBT101008,11CETBT101008,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech/B.Tech (Hons) Computer Science Engineering 2011-2012 IV Sem VIII,33,Security Fee,0,10000,0,0,0,0,0,0,0,
70,15-06-2011,2011-2012,2011-2012,AIE,SCHOLARSHIP,615804,11COMMBA101003,11COMMBA101003,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,,TUITION FEE,0,0,0,25600,0,0,0,0,0,
71,15-06-2011,2011-2012,2011-2012,AIE,RCPT,889453,11CETBT105006,11CETBT105006,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,32,TUITION FEE,0,128000,0,0,0,0,0,0,0,
72,15-06-2011,2011-2012,2011-2012,AIE,RCPT,889453,11CETBT105006,11CETBT105006,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,32,Security Fee,0,10000,0,0,0,0,0,0,0,
73,16-06-2011,2011-2012,2011-2012,AIE,RCPT,893518,11CETBT102004,11CETBT102004,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,42,TUITION FEE,0,128000,0,0,0,0,0,0,0,
74,16-06-2011,2011-2012,2011-2012,AIE,RCPT,893518,11CETBT102004,11CETBT102004,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,42,Security Fee,0,10000,0,0,0,0,0,0,0,
75,16-06-2011,2011-2012,2011-2012,AIE,RCPT,893512,11CETBT102005,11CETBT102005,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,46,TUITION FEE,0,128000,0,0,0,0,0,0,0,
76,16-06-2011,2011-2012,2011-2012,AIE,RCPT,893512,11CETBT102005,11CETBT102005,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,46,Security Fee,0,10000,0,0,0,0,0,0,0,
77,16-06-2011,2011-2012,2011-2012,AIE,RCPT,889438,11CETBT105008,11CETBT105008,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,43,TUITION FEE,0,128000,0,0,0,0,0,0,0,
78,16-06-2011,2011-2012,2011-2012,AIE,RCPT,889438,11CETBT105008,11CETBT105008,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,43,Security Fee,0,10000,0,0,0,0,0,0,0,
79,16-06-2011,2011-2012,2011-2012,AIE,RCPT,885711,11COMMBA101005,11COMMBA101005,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,44,TUITION FEE,0,128000,0,0,0,0,0,0,0,
80,16-06-2011,2011-2012,2011-2012,AIE,RCPT,885711,11COMMBA101005,11COMMBA101005,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,44,Security Fee,0,10000,0,0,0,0,0,0,0,
