279996,3/4/2017,2017-2018,2017-2018,AIE,RCPT,759944,16GCCE101108,16GCCE101108,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B Tech Civil Engineering 2016-17 IV Sem VIII,3.12E+11,TUITION FEE,0,144000,0,0,0,0,0,0,0,
279997,3/4/2017,2017-2018,2017-2018,AIE,RCPT,776167,15CCCE101511,15CCCE101511,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech in CSE 2015-16 V Sem IX,2.22E+11,TUITION FEE,0,149000,0,0,0,0,0,0,0,
279998,3/4/2017,2017-2018,2017-2018,AIE,RCPT,776167,15CCCE101511,15CCCE101511,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech in CSE 2015-16 V Sem IX,2.22E+11,Exam Fee,0,10000,0,0,0,0,0,0,0,
279999,3/4/2017,2017-2018,2017-2018,AIE,RCPT,759918,16GCCE101110,16GCCE101110,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B Tech Civil Engineering 2016-17 IV Sem VIII,3.12E+11,TUITION FEE,0,149000,0,0,0,0,0,0,0,
280000,3/4/2017,2017-2018,2017-2018,AIE,RCPT,759918,16GCCE101110,16GCCE101110,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B Tech Civil Engineering 2016-17 IV Sem VIII,3.12E+11,Exam Fee,0,10000,0,0,0,0,0,0,0,
280001,3/4/2017,2017-2018,2017-2018,AIE,RCPT,808715,16CCCE104003,16CCCE104003,Alumni,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2016-17 IV Sem VII,2.22E+11,TUITION FEE,0,77000,0,0,0,0,0,0,0,
280002,3/4/2017,2017-2018,2017-2018,AIE,RCPT,808715,16CCCE104003,16CCCE104003,Alumni,General,School of Computing Science & Engineering,BCA,School of Computing Science,BCA 2016-17 IV Sem VII,2.22E+11,Exam Fee,0,10000,0,0,0,0,0,0,0,
280003,3/4/2017,2017-2018,2017-2018,AIE,RCPT,781800,15CCCE101243,15CCCE101243,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech in CSE 2015-16 V Sem IX,2.22E+11,TUITION FEE,0,149000,0,0,0,0,0,0,0,
280004,3/4/2017,2017-2018,2017-2018,AIE,RCPT,781800,15CCCE101243,15CCCE101243,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech in CSE 2015-16 V Sem IX,2.22E+11,Exam Fee,0,10000,0,0,0,0,0,0,0,
280005,3/4/2017,2017-2018,2017-2018,AIE,RCPT,777663,15CCCE101441,15CCCE101441,Alumni,General,School of Computing Science & Engineering,B.Tech/B.Tech (Hons) Computer Science Engineering,School of Computing Science,B.Tech in CSE 2015-16 V Sem IX,2.22E+11,TUITION FEE,0,149000,0,0,0,0,0,0,0,
